DATE,T10Y3M,EFFR,UNRATE,STLFSI4,CPIAUCSL_PC1,SPY
01/01/2001,-0.124285714,6.022857143,4.2,0.45295,3.7212,90.391953
01/02/2001,0.093684211,5.508421053,4.2,0.395875,3.52941,81.769661
01/03/2001,0.35,5.321428571,4.3,0.62652,2.98246,76.980263
01/04/2001,1.175,4.813809524,4.4,0.72345,3.21826,83.782433
01/05/2001,1.688181818,4.231818182,4.3,0.324775,3.56308,83.31279
01/06/2001,1.719047619,3.951428571,4.5,0.36802,3.19396,81.096855
01/07/2001,1.642857143,3.780952381,4.6,0.34945,2.72148,80.498322
01/08/2001,1.533478261,3.656956522,4.9,0.31282,2.72148,75.722137
01/09/2001,2.039411765,2.959473684,5,1.125725,2.59217,69.280975
01/10/2001,2.369090909,2.501818182,5.3,0.81985,2.12766,70.446426
01/11/2001,2.745,2.108,5.5,0.62582,1.89437,75.939682
01/12/2001,3.3675,1.8155,5.7,0.65585,1.60367,76.106171
01/01/2002,3.350952381,1.750952381,5.7,0.4583,1.1959,75.619598
01/02/2002,3.154736842,1.7455,5.7,0.467925,1.13636,74.26326
01/03/2002,3.459,1.726190476,5.7,0.1914,1.36286,76.514877
01/04/2002,3.465909091,1.758636364,5.9,0.337025,1.64399,72.271553
01/05/2002,3.404090909,1.759090909,5.8,0.23686,1.24083,71.842743
01/06/2002,3.1945,1.7515,5.8,0.641325,1.06922,66.308105
01/07/2002,2.939545455,1.736818182,5.8,1.006775,1.46561,61.295509
01/08/2002,2.61,1.754090909,5.7,0.94352,1.74746,61.712418
01/09/2002,2.211,1.754,5.7,1.21325,1.516,54.99519
01/10/2002,2.330909091,1.759545455,5.7,1.04815,2.02703,59.787197
01/11/2002,2.793684211,1.334736842,5.9,0.83314,2.25352,63.474945
01/12/2002,2.821428571,1.246190476,6,0.77605,2.48027,59.591343
01/01/2003,2.85952381,1.255714286,5.8,0.69854,2.75746,58.41135
01/02/2003,2.717368421,1.26,5.9,0.72755,3.14607,57.624008
01/03/2003,2.656190476,1.25047619,5.9,0.5732,3.02521,57.515434
