date,T10Y3M,SP500,EFFR,UNRATE,STLFSI4,CPIAUCSL_PC1, 2y_Expec_Inflation
01/01/2014,2.814761905,1822.356667,0.07,6.6,-0.6008,1.55776,0.016355563
01/02/2014,2.656842105,1817.034737,0.07,6.7,-0.6286,1.12047,0.015657335
01/03/2014,2.670952381,1863.523333,0.08,6.7,-0.6731,1.61269,0.013828281
01/04/2014,2.674285714,1864.263333,0.09,6.2,-0.6751,2.01513,0.016562364
01/05/2014,2.526666667,1889.767143,0.09,6.3,-0.7454,2.16695,0.017065438
01/06/2014,2.562857143,1947.087619,0.1,6.1,-0.8595,2.05898,0.01572693
01/07/2014,2.515909091,1973.1,0.09,6.2,-0.7685,1.97424,0.017538415
01/08/2014,2.387142857,1961.531905,0.09,6.1,-0.6661,1.7151,0.017376574
01/09/2014,2.514285714,1993.22619,0.09,5.9,-0.5854,1.68405,0.018962823
01/10/2014,2.287272727,1937.274348,0.09,5.7,-0.3334,1.60954,0.016372688
01/11/2014,2.303888889,2044.572105,0.1,5.8,-0.4626,1.23152,0.014820998
01/12/2014,2.178181818,2054.266364,0.12,5.6,-0.2584,0.65312,0.019005034
01/01/2015,1.854,2028.1785,0.12,5.7,-0.0171,-0.22993,0.012512601
01/02/2015,1.957368421,2082.195789,0.11,5.5,-0.2994,-0.08703,0.009080371
01/03/2015,2.015,2079.990455,0.11,5.4,-0.239,-0.02203,0.011905723
01/04/2015,1.911818182,2094.862857,0.12,5.4,-0.38,-0.10403,0.015536333
01/05/2015,2.181,2111.9435,0.12,5.6,-0.3717,0.03503,0.016479847
01/06/2015,2.348636364,2099.283636,0.13,5.3,-0.3058,0.17957,0.016951142
01/07/2015,2.292272727,2094.143636,0.13,5.2,-0.1766,0.22569,0.017368344
01/08/2015,2.095238095,2039.86619,0.14,5.1,0.086,0.2413,0.016649923
01/09/2015,2.148571429,1944.402381,0.14,5,0.1922,0.00884,0.01771112
01/10/2015,2.053333333,2024.812727,0.12,5,0.1199,0.12762,0.014303623
01/11/2015,2.136842105,2080.6165,0.12,5.1,-0.0374,0.43632,0.014600444
